species,gait,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,sum_tau_norm_sq,peak_tau_norm,p95_tau_norm,pct_stride_above_80,pct_stride_above_90,positive_joint_work_J,solver_success,notes
cheetah,transverse,8,57.5509,1.26485,114.195,0.999999,0.996007,57.7567,57.7567,885.558,1,
cheetah,transverse,8,66.2639,1.45635,114.059,0.999994,0.996092,57.8282,57.8282,884.045,1,
cheetah,transverse,8,76.2959,1.67683,113.793,0.999992,0.999712,58.1077,57.073,880.742,1,
cheetah,transverse,8,87.8467,1.9307,113.243,0.999994,0.995702,58.1706,57.1322,878.694,1,
cheetah,transverse,8,101.146,2.223,111.552,0.999952,0.976062,58.2165,57.177,877.147,1,
cheetah,transverse,8,116.459,2.55955,111.633,0.999997,0.999651,58.6162,56.5011,875.052,1,
cheetah,transverse,8,134.091,2.94705,110.264,0.999965,0.980117,58.6764,56.5581,874.612,1,
cheetah,transverse,8,154.392,3.39322,109.047,0.999979,0.998008,59.1129,56.5831,876.174,1,
cheetah,transverse,8,177.766,3.90694,107.842,0.999894,0.994937,58.1799,56.7189,877.444,1,
cheetah,transverse,8,204.679,4.49843,107.066,0.999997,0.997796,58.4168,56.1761,881.07,1,
cheetah,transverse,8,235.666,5.17947,106.305,0.999997,0.999789,58.5745,56.3285,883.678,1,
cheetah,transverse,8,271.345,5.96362,103.28,0.999998,0.953421,58.7103,55.6749,884.751,1,
cheetah,transverse,8,312.425,6.86649,101.438,0.999994,0.972028,56.6598,53.5118,887.025,1,
cheetah,transverse,8,359.725,7.90604,100.591,0.999996,0.969003,58.9828,53.6717,886.785,1,
cheetah,transverse,8,414.186,9.10298,100.76,0.999991,0.983367,63.9619,54.5919,885.427,1,
cheetah,transverse,8,476.892,10.4811,102.144,0.999992,0.995875,65.2339,55.8754,882.162,1,
cheetah,transverse,8,549.091,12.0679,103.7,0.999998,0.999931,65.2814,59.6465,877.331,1,
cheetah,transverse,8,632.22,13.895,103.08,0.999999,0.999859,65.4041,59.7818,869.735,1,
cheetah,transverse,8,727.936,15.9986,101.802,0.999993,0.98612,64.8192,64.0004,861.846,1,
cheetah,transverse,8,838.142,18.4207,104.141,0.999999,0.999949,65.5981,64.3647,853.268,1,
cheetah,transverse,8,965.033,21.2095,105.048,0.999999,0.999983,65.4839,64.6591,845.456,1,
cheetah,transverse,8,1111.13,24.4205,104.862,0.999969,0.998884,65.3882,63.8496,838.482,1,
cheetah,transverse,8,1279.35,28.1177,106.281,1,0.999993,65.2523,64.5436,833.405,1,
cheetah,transverse,8,1473.04,32.3746,107.086,1,0.999996,65.6383,64.4295,829.436,1,
cheetah,transverse,8,1696.06,37.2759,107.52,0.999969,0.999529,67.9845,64.3509,826.656,1,
cheetah,transverse,8,1952.83,42.9193,103.784,0.999991,0.999373,64.485,62.7015,825.164,1,
cheetah,transverse,8,2248.48,49.4171,107.189,0.999998,0.999964,67.9777,64.3469,823.309,1,
cheetah,transverse,8,2588.89,56.8987,107.318,0.999985,0.999754,67.9935,64.3645,821.902,1,
cheetah,transverse,8,2980.83,65.5129,107.596,0.999962,0.999582,68.0204,65.5924,821.087,1,
cheetah,transverse,8,3432.12,75.4312,107.337,0.999999,0.999991,68.053,65.6275,820.58,1,
cheetah,transverse,8,3951.73,86.8511,107.406,0.99998,0.999795,68.1069,65.6855,820.594,1,
cheetah,transverse,8,4550,100,107.702,0.999988,0.999885,68.1612,65.7441,821.018,1,
cheetah,transverse,10,4.55,0.1,144.25,0.999936,0.996646,46.0822,43.576,1290.25,1,
cheetah,transverse,10,5.2388,0.115138,145.327,0.999994,0.999642,46.0664,43.9162,1291.4,1,
cheetah,transverse,10,6.032,0.132571,151.519,0.999997,0.999951,47.3655,46.6496,1320.93,1,
cheetah,transverse,10,6.9452,0.152642,152.413,0.999998,0.999976,47.2829,46.5679,1323.58,1,
cheetah,transverse,10,7.9967,0.175752,152.276,0.999999,0.999985,47.2986,46.5838,1326.52,1,
cheetah,transverse,10,9.2073,0.202358,152.463,0.999988,0.999642,47.2896,46.5748,1326.87,1,
cheetah,transverse,10,10.6013,0.232996,152.042,0.999989,0.999827,47.2409,45.8127,1326.4,1,
cheetah,transverse,10,12.2063,0.26827,152.715,0.999991,0.999779,47.2417,46.1701,1325.96,1,
cheetah,transverse,10,14.0542,0.308884,153.15,0.999999,0.99998,47.2107,46.1401,1328.74,1,
cheetah,transverse,10,16.182,0.355648,150.404,0.999987,0.999592,47.2179,45.4401,1326.33,1,
cheetah,transverse,10,18.6319,0.409492,151.65,1,0.999992,47.184,46.1163,1328.47,1,
cheetah,transverse,10,21.4526,0.471486,152.265,0.999995,0.999915,47.1632,46.0956,1330.97,1,
cheetah,transverse,10,24.7005,0.542868,153.869,1,1,47.0973,46.3863,1336.14,1,
