species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
horse,545.18,transverse,10,257.045,0.471487,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,164.456,0.882363,163.574,0.490326,4.90326,10,8,7,0.27942,0.210906,44.9953,-20.1726,65.1679,0.162652,0.168843,0.220018,0.185366,
horse,545.18,transverse,10,295.961,0.542867,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,165.759,0.879278,164.88,0.489947,4.89947,10,8,7,0.279435,0.210512,44.9906,-19.7023,64.6929,0.162833,0.169119,0.220124,0.185461,
horse,545.18,transverse,10,340.768,0.625055,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,43,165.84,0.870666,164.969,0.489352,4.89352,10,8,7,0.28056,0.208792,45,-18.6178,63.6178,0.162726,0.170124,0.22276,0.185521,
horse,545.18,transverse,10,392.358,0.719686,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,9,167.516,0.866295,166.65,0.488889,4.88889,10,8,7,0.280612,0.208277,44.9601,-18.1385,63.0987,0.163212,0.170434,0.222808,0.185504,
horse,545.18,transverse,10,451.76,0.828643,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,169.231,0.862914,168.368,0.48834,4.8834,10,8,7,0.28053,0.20781,44.957,-17.5416,62.4986,0.163186,0.170776,0.222899,0.185694,
horse,545.18,transverse,10,520.154,0.954096,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,10,171.154,0.860034,170.294,0.487752,4.87752,10,8,7,0.280395,0.207357,44.9239,-16.9837,61.9076,0.163219,0.17115,0.22293,0.185895,
horse,545.18,transverse,10,598.903,1.09854,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,142,171.196,0.838258,170.358,0.485888,4.85888,10,8,7,0.281979,0.203909,45,-13.2014,58.2014,0.163937,0.176703,0.225918,0.184967,
horse,545.18,transverse,10,689.574,1.26486,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,173.533,0.830929,172.702,0.485348,4.85348,10,8,7,0.281943,0.203405,44.4679,-12.6663,57.1343,0.164085,0.177105,0.225944,0.185067,
horse,545.18,transverse,10,793.972,1.45635,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,39,174.273,0.713561,173.56,0.485046,4.85046,10,8,7,0.285321,0.199726,45,-2.09344,47.0934,0.165037,0.183942,0.226237,0.18363,
horse,545.18,transverse,10,914.176,1.67683,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,61,175.678,0.655341,175.023,0.485141,4.85141,10,8,7,0.288347,0.196794,45,0.385709,44.6143,0.168229,0.185964,0.224208,0.182226,
