species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
horse,545.18,rotary,8,23398.8,42.9193,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,12,113.659,0.302143,113.357,0.510026,4.08021,8,8,6,0.319427,0.190599,5.11112,-4.97783,10.0889,0.195198,0.198061,0.212122,0.195825,
horse,545.18,rotary,8,26941.2,49.4171,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,14,113.872,0.301767,113.57,0.510224,4.08179,8,8,6,0.319321,0.190904,4.55385,-4.38157,8.93542,0.195605,0.198015,0.211686,0.195827,
horse,545.18,rotary,8,31020,56.8987,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,15,113.776,0.300261,113.476,0.509626,4.07701,8,8,6,0.319092,0.190533,4.00559,-3.88113,7.88671,0.194264,0.198006,0.211312,0.195922,
horse,545.18,rotary,8,35716.3,65.5129,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,18,113.909,0.299635,113.609,0.509496,4.07597,8,8,6,0.31886,0.190636,3.54523,-3.41258,6.95781,0.194214,0.198003,0.210894,0.19595,
horse,545.18,rotary,8,41123.6,75.4312,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,26,114.031,0.296985,113.734,0.510184,4.08147,8,8,6,0.318696,0.191488,3.12465,-3.03617,6.16082,0.194292,0.197666,0.209813,0.195571,
horse,545.18,rotary,8,47349.5,86.8511,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,19,114.134,0.296832,113.837,0.509804,4.07844,8,8,6,0.318517,0.191287,2.75533,-2.65174,5.40708,0.19436,0.197849,0.209593,0.195555,
horse,545.18,rotary,8,54518,100,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,114.232,0.296714,113.935,0.509381,4.07505,8,8,6,0.318324,0.191057,2.41867,-2.31544,4.73411,0.194451,0.198022,0.209408,0.195499,
horse,545.18,rotary,10,54.518,0.1,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,16,148.735,0.47474,148.261,0.486213,4.86213,10,8,6,0.273921,0.212291,44.9997,3.02131,41.9784,0.175324,0.175221,0.21281,0.200785,
horse,545.18,rotary,10,62.7718,0.11514,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,37,148.722,0.474212,148.248,0.486103,4.86103,10,8,6,0.274005,0.212098,45,3.05695,41.9431,0.175487,0.175443,0.212747,0.200567,
horse,545.18,rotary,10,72.2751,0.132571,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,148.777,0.473311,148.304,0.486195,4.86195,10,8,6,0.274173,0.212023,45,3.19827,41.8017,0.175737,0.175735,0.212441,0.200091,
horse,545.18,rotary,10,83.2173,0.152642,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,148.791,0.473524,148.317,0.486031,4.86031,10,8,6,0.274017,0.212013,44.8242,3.14394,41.6803,0.175624,0.175946,0.212194,0.199978,
